id,prefLabel,type,description,broader
dapp_–_decentralized_apps,Decentralized Apps,concept,An application that does not rely on a central server but on several decentralized nodes. Each user can choose to be an active node serving the app. ,infrastructure
hardware_wallet,Hardware Wallet,concept,"A [hardware] cryptocurrency wallet is a device, physical medium, (...) which stores the private keys for cryptocurrency transactions. It will normally also contain the associated public keys.",wallet
dht_distributed_hash_technology,Distributed Hash Technology,concept,"A decentralized distributed system that provides sharing contact information, so people downloading the same file can discover each other. Both Tor and I2P use DHT. Due to the distributed nature of the hidden services domain resolution, it is possible to deploy nodes in the DHT to monitor requests coming from a given domain.",technology
BTC,Bitcoin,concept,"Bitcoin is a network protocol based on blockchain, introduced by Nakamoto [11] which allows payments and coin transfers to be made among participating entities. No trusted",cryptocurrency
service,Service,concept,A service refers to some software functionality or a set of software functionalities that can be used by different actors for difffent purposes.,entity2
counterfeit_product,Counterfeit product,concept,"Counterfeit consumer goods are goods, often of inferior quality, made or sold under another's brand name without the brand owner's authorization.",asset
entity2,DWVA Entity,concept,An entity is anything that can be found and that could be reported in the context of Dark Web & Virtual Assets investigations.,
shop_owner,Shop owner,concept,A shop owner is an actor within the group of Criminal Actors; operating a DW shop.,actor
authorities,Authorities,concept,A group of actors in the field of Law Enforcement and/or state actors,actor
hierarchically_deterministic_wallets,Hierarchically Deterministic wallets,concept,"An HD (Hierarchical Deterministic) Wallet is a tree of private/public keypairs starting from a master seed. This technology provides both account management and identity masking. A user only needs to keep the master seeds because she can generate following keypairs from the root key deterministically, and each public key that can be exposed is changed for each transaction. ",technology
non-fungible-token,Non Fungible Token,concept,"A non-fungible token (NFT) is a unit of data stored on a digital ledger, called a blockchain, that certifies a digital asset to be unique and therefore not interchangeable. NFTs can be used to represent items such as photos, videos, audio, and other types of digital files.",technology
dark_web,Dark Web,concept,A Darknet is to the Dark Web what the World Wide Web is to the internet. There are many Darknets forming the Dark Web.,infrastructure
bulletproof_hosting,Bulletproof Hosting,concept,A (hosting) service that guarantees the availability of hosted resources even when they are found to be malicious or illegal. ,service
darknet_wiki,Darknet Wiki,concept,"Wiki services, including directory services for other hidden services, hosted in the Dark Web.",service
pos_proof_of_stake,Proof of Stake,concept,"In a Proof of Stake (PoS) network, users need to prove ownership of enough stakes to become validators. Ethereum (ETH) is moving from PoW to PoS. PoS offers several advantages over PoW: it is energy efficient, reduces hardware requirements and is less prone to centralisation ",technology
multisig,Multisig,concept,Multisig refers to all the transactions that require two or more signatures. Multisignature transactions and addresses are validated only when at least x of the possible y signatories have signed. x and y are defined at creation.,process
ZEC,Zcash,concept,"A cryptocurrency with a decentralized Blockchain that provides anonymity for its users and their transactions. It is similar to Bitcoin as an open-source, but their major differences are the increased level of privacy it provides. ",cryptocurrency
fe_finalize_early,Finalize Early,concept,"Buyers may ""finalize early"" (FE), releasing funds from escrow to the vendor prior to receiving their goods in order to expedite a transaction. This can be done when there is a trust relationship between vendor and buyer, however it does leave the buyer vulnerable to fraud if they choose to do so.",process
coin_swapping,Coin swapping,concept,"CoinSwap is a protocol to make a transaction via a third party to obfuscate the money flow. For instance, when Alice would like to pay Bob, Carol offers to receive Alice's coin and pay Bob with an unconnected coin. While none of these parties trusts each other, this protocol does not allow Carol to rob Alice's coin.",service
XRP,Ripple,concept,"Ripple is a real-time gross settlement system, currency exchange and remittance network created by Ripple Labs Inc., a US-based technology company. (...)  The ledger employs the native cryptocurrency known as XRP.",cryptocurrency
vendor,Vendor,concept,Someone who is selling something.,actor
ico,Initial Coin Offering / Initial Crypto-Tokens Offering,concept,"Initial Coin Offerings (ICO) are public offers of  new cryptocurrencies in exchange of existing ones, aimed to  finance projects in the blockchain development arena. The typical pattern is for a startup to produce a white paper that describes their business model and technical approach. The white paper includes details about the functions that the tokens issued during the ICO will perform and the process of token creation.",service
layer-2,Layer 2,concept,"Layer 2 is a collective term for solutions designed to help scale decentralised applications by handling transactions off the Ethereum mainnet (layer 1), while taking advantage of the robust decentralized security model of mainnet.",technology
virtual_asset_service_provider,Virtual Asset Service Provider,concept,Virtual asset service provider means any natural or legal person who (...) as a business conducts one or more of the following activities or operations for or on behalf of another natural or legal person: i) exchange between virtual assets and fiat currencies; ii) exchange between one or more forms of virtual assets; iii) transfer of virtual assets; iv) safekeeping and/or administration of virtual assets or instruments enabling control over virtual assets; and v) participation in and provision of financial services related to an issuer’s offer and/or sale of a virtual asset.,actor
dex,Decentralized Exchange,concept,Same as exchange but in a completely distributed environment. There is no central hosting server and all nodes are servers.,service
metadata,Metadata,concept,"Refers to data that provides information about a certain item's content. For example, an image may include information that describes how large the picture is or when the image was created, while a text document may contain information about the author of the document, or the IP address of the document's author, and so on. ",technology
exit-scam,Exit scam,concept,"An exit scam can be performed by a dark net martket or single vendor shop and is the process in which the one or more of the market admins prevents users withdrawing funds through the escrow system and then closes the market, exiting with all the bitcoins and other digital currencies they were holding in escrow.",process
smart_contract,Smart contract,concept,"A smart contract is a self-executing contract with the terms of the agreement between buyer and seller being directly written into lines of code. The code and the agreements contained therein exist across a distributed, decentralized blockchain network. The code controls the execution, and transactions are trackable and irreversible.",technology
service-provider,Service Provider,concept,An actor that provides a service by making available and managing infrastructure or by executing a process,actor
cryptocurrency,Cryptocurrency,concept,"A cryptocurrency, crypto-currency, or crypto is a digital asset designed to work as a medium of exchange wherein individual coin ownership records are stored in a ledger existing in a form of a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership.",asset
administrator,Administrator,concept,An actor whose job it is to supervise the technical operation of a service,actor
virtual_asset_,Virtual Asset ,concept,"A virtual asset is a digital representation of value that can be digitally traded, or transferred, and can be used for payment or investment purposes. Virtual assets do not include digital representations of fiat currencies, securities and other financial assets that are already covered elsewhere in the FATF Recommendations.",asset
darknet_forum,Darknet Forum,concept,Forum services hosted in the Dark Web.,service
shop,Shop,concept,A shop is a service where products from one actor (the shop owner) are traded.,service
hosted-wallet,Hosted wallet,concept,"A digital account hosted by third party financial institution, known as Virtual Asset Service Provider(VASP), which allows the account-holder (the user) to store, send, and receive cryptocurrency.",wallet
dot_onion,.Onion,concept,"A special-use top level domain name designating an anonymous onion service, which was formerly known as a ""hidden service"". It is referred to as that because of the “layered” approach to relays on the Tor Browser.",technology
bridge,Bridge,concept,"Blockchain bridges enable interoperability between vastly different networks, such as Bitcoin and Ethereum, and between one parent blockchain and its sidechains.",technology
unhosted-wallet,Unhosted wallet,concept,A wallet that is not hosted by a third-party financial system. It can be very difficult or impossible to determine who is accessing or in control of the use of cryptocurrencies in an unhosted wallet. Unhosted wallets allow for anonymity and concealment of illicit financial activity.,wallet
drop-ship,Drop Ship,concept,"A vending tactic involving the vendor passing the buyer’s address on to another vendor to ship to, eliminating any need for the middleman (dropshipper) to handle anything illegal in person.",
sidechain,Sidechain,concept,"A sidechain is a side blockchain that is linked to another blockchain, referred to as the main chain, via a two-way peg.",technology
asset,Asset,concept,An item of value owned,entity2
flash-loan,Flash Loan,concept,"A cryptocurrency loan executed trough a smart contract, with no collateral, that must be paid back in the same block. The purpose of a flash loan is to gain money through arbitrage (on different exchanges or different assets) without providing any collateral.",technology
escrow,Escrow,concept,"An escrow is a contractual arrangement in which a third party (the stakeholder or escrow agent) receives and disburses money or property for the primary transacting parties, with the disbursement dependent on conditions agreed to by the transacting parties.",service
pow_proof_of_work,Proof of Work,concept,"Bitcoin blockchain is constructed and validated by computation. Miners work to validate the blockchain with their computation power, proving their work for a reward. The Bitcoin Blockchain is based on Proof-of-Work. ",technology
tumbler,Tumbler,concept,A method of scrambling or anonymizing the source of one’s cryptocurrencies. ,service
utxo_unspent_transaction_output,Unspent Transaction Output,concept,An unspent transaction output of cryptocurrencies. This output is considered as an input to new transaction.,technology
crypto_assets,Crypto-assets,concept,"A crypto-asset (...) is a digital asset designed to work as a medium of exchange wherein individual coin ownership records are stored in a ledger existing in a form of a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership.",asset
BCH,Bitcoin cash,concept,Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.,cryptocurrency
fiat_currencies,FIAT currencies,concept,"Fiat money is a currency (a medium of exchange) established as money, often by government regulation. Fiat money does not have intrinsic value and does not have use value. It has value only because a government maintains its value, or because parties engaging in exchange agree on its value. ",asset
crypto_atm,Crypto ATM,concept,"A Bitcoin ATM (Automated Teller Machine) is a kiosk that allows a person to purchase Bitcoin and other cryptocurrencies by using cash or debit card. Some types of ATM also allow users to sell their cryptocurrency, dispensing cash in payment. Depending on the provider, the ATM can require KYC verification.",service
ETH,Ethereum,concept,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH) is the native cryptocurrency of the platform. It is the second-largest cryptocurrency by market capitalization, after Bitcoin. Ethereum is the most actively used blockchain. ",cryptocurrency
yield-farming,Yield farming,concept,A process that lets you earn either fixed or variable interest by investing crypto in a DeFi market.,process
I2P,Invisible Internet Protocol,concept,"An “anonymous overlay network” using the garlic routing protocol that encrypts multiple messages together to make data traffic analysis difficult, while simultaneously increasing network traffic speed. Each encrypted message has its own specific delivery instruction, and each endpoint works as a cryptographic identifier or what we refer to as “keys.” Since I2P is entirely peer-to-peer in structure, there's no hard-coded trusted set of directory stores. Instead, the network directory of I2P is netDb, a distributed database that is replicated across the network.",technology
regulator,Regulator,concept,Authority that defines (national) regulations,authorities
hidden_service,Hidden Service,concept,A collective name used to describe websites which require a special browser in order to access.,technology
relay_node,Relay (node),concept,"A relay is a node in the Tor network. When a request to access a particular hidden service is made, the browser calculates the optimal route through a series of relays, exchanging cryptographic keys between nodes, to display the content without disclosing the IP address of the request originator.  Each relay decrypts a layer of encryption to reveal the next relay in the circuit to pass the remaining encrypted data on to it. The final relay decrypts the innermost layer of encryption and sends the original data to its destination without revealing or knowing the source IP address. ",infrastructure
bip_bitcoin_improvement_proposals,Bitcoin Improvement Proposals,concept,"Bitcoin improvement proposals, these are the equivalent of RFCs. They define the protocols and structures of Bitcoin. They are developed and maintained at the Bitcoin Github.",process
defi,Decentralized Finances,concept,"Smart Contracts on blockchains, DApps, mainly via the Ethereum technology and network. They are used to provide traditional financial services. The technology provides strong immunity against attackers and some level of anonymity and privacy. Transactions are confirmed relatively fast, but mostly lack KYC and AML compliance controls and offer limited to no user support and customer care. Current DeFi innovations include: Lending platforms; Prediction markets; Decentralised Exchange (DEXs); Staking and pooling platforms. ",service
customer,Customer,concept,"The end user of a service. Customer would be paying for the services (buying good, using a service, owning an asset...).",actor
LTC,Litecoin,concept,"Litecoin (LTC or Ł) is a peer-to-peer cryptocurrency and open-source software project released under the MIT/X11 license. Litecoin was an early bitcoin spinoff or altcoin, starting in October 2011. In technical details, Litecoin is nearly identical to Bitcoin.",cryptocurrency
cyberterrorist,Cyberterrorist,concept,"Cyberterrorism is the use of the Internet to conduct violent acts that result in, or threaten, loss of life or significant bodily harm, in order to achieve political or ideological gains through threat or intimidation.",actor
USDT,Tether,concept,"Tether is a controversial cryptocurrency with tokens issued by Tether Limited. It formerly falsely claimed that each token was backed by one United States dollar, but on 14 March 2019 changed the backing to include loans to affiliate companies.",cryptocurrency
bank,Bank,concept,A bank is a financial institution that accepts deposits from the public and creates a demand deposit while simultaneously making loans.,actor
technology,Technology,concept,A capability given by the practical application of knowledge,entity2
XMR,Monero,concept,"An open-source cryptocurrency created in April 2014 that focuses on fungibility, privacy and decentralization. Monero (XMR) uses an obfuscated public ledger, meaning anybody can broadcast or send transactions, but no outside observer can tell the source, amount or destination. ",cryptocurrency
BNB,Binance Coin,concept,"BNB powers the Binance Ecosystem. As the native coin of Binance Chain, BNB has multiple use cases: fueling transactions on the Chain, paying for transaction fees on Binance Exchange, making in-store payments, and many more.",cryptocurrency
actor,Actor,concept,An actor is anything playing an active role in Darknets or Cryptoasset ecosystems. This subsumes individuals and organizations as well as automated services fulfilling a certain function in such environments.,entity2
i2p_invisible_internet_protocol_network,Invisible Internet protocol network,concept,"A type of anonymity network similar to Tor, based on the Invisible Internet Project protocol.",dark_web
dark_market,Darknet market,concept,"A darknet market is a commercial website on the web that operates via darknets such as Tor or I2P. They function primarily as black markets, selling or brokering transactions involving drugs, cyber-arms, weapons, counterfeit currency, stolen credit card details, forged documents, unlicensed pharmaceuticals, steroids, and other illicit goods as well as the sale of legal products.",service
pgp_pretty_good_privacy,Pretty Good Privacy,concept,"An abbreviation for Pretty Good Privacy, an encryption program popular for encrypting emails and files. Through the use of public and private keys, it allows users who have never met to send encrypted messages etc. to each other without exchanging private encryption keys.",technology
takedown_notice,Takedown notice,concept,Notice and take down is a process operated by online hosts in response to court orders or allegations that content is illegal. Content is removed by the host following notice. ,process
victim,Victim,concept,"Someone or something that has been hurt, damaged, or killed or has suffered, either because of the actions of someone or something else, or because of illness or chance.",actor
DOT,Polkadot,concept,Polkadot is a heterogeneous multi-chain interchange and translation architecture which enables customised side-chains to connect with public blockchains.,cryptocurrency
bank_credentials,Bank credentials,concept,Login credentials for e-services that are provided by financial institutions with a bank license.,asset
wallet,Wallet,concept,"A wallet, is a piece of software that keeps track of the secret keys, for instance used to digitally sign cryptocurrency transactions for distributed ledgers.",infrastructure
money_mule,Money mule,concept,"A money mule, sometimes called a ""smurfer,"" is a person who transfers money acquired illegally in person, through a courier service, or electronically, on behalf of others. Typically, the mule is paid for services with a small part of the money transferred. ",actor
irc,Internet Relay Chat,concept,A text-based chat service enabling users connected to a server to communicate with each other in real-time. ,service
software_wallet,Software wallet,concept,A [software] cryptocurrency wallet is a (...) program or a service which stores the private keys for cryptocurrency transactions. It will normally also contain the associated public keys.,wallet
ADA,Cardano,concept,"Cardano is a public blockchain platform. It is open source and decentralized, with consensus achieved using proof of stake. It can facilitate peer-to-peer transactions with its internal cryptocurrency Ada.",cryptocurrency
DOGE,Dogecoin,concept,"Dogecoin (code: DOGE, symbol: Ð) is a cryptocurrency created by software engineers Billy Markus and Jackson Palmer, who decided to create a payment system that is instant, fun, and free from traditional banking fees.",cryptocurrency
exchange,Exchange,concept,Trading platform (commonly referred to as an “Exchange”) is the term within this paper used to describe any venue which facilitates the exchange of tokens for any form of money or asset. Trading platforms provide services to buy and sell tokens and/or for exchange of national (fiat) currencies backed by central banks.,service
blockchain,Blockchain,concept,"Blockchain is a distributed technology built under peer-to-peer network principles and cryptographic primitives, such as asymmetric encryption and digital signature. It allows trust-less users to exchange information and record transactions without external interference and coordination.",technology
darknet_email_service,Darknet Email Service,concept,Messaging services hosted or accessible via privacy enhanced networks.,service
credentials,Credentials,concept,"A credential is a piece of any document that details a qualification, competence, or authority issued to an individual by a third party with a relevant or de facto authority or assumed competence to do so.",asset
rug-pull,Rug pull,concept,A rug pull is a malicious maneuver in the cryptocurrency industry where crypto developers abandon a project and run away with investors’ funds,process
moderator,Moderator,concept,A person who manages the discussion contributions in an online forum.,actor
tor_network,TOR Network,concept,A network of routers that adds encryption to conceal a web user’s location and usage so that these are resistant to surveillance and hence are truly anonymous. The domain names of these hidden sites all end in ‘.onion’ and they are only accessible by using a Tor browser. Tor stands for ‘The Onion Router’. ,dark_web
zeronet,ZeroNet,concept,"One of the newest Darknets, becoming increasingly popular. It is a combination of trackerless Bittorrent and a Blockchain for persistent site and user identity. ZeroNet optionally uses the Tor network as a virtual private network. As a full mesh network, all clients are also servers. By browsing to a “zite” as they are known in ZeroNet lingo, the machine used automatically becomes one of the servers for this zite also. ",dark_web
dead_drop,Dead drop,concept,The dead drop is a delivery model used by some vendors to distribute their products. A vendor uses a ‘dropman’ to hide consignments of pre-packaged drug deals in a number of suitably discreet offline locations. When a buyer makes a purchase from the vendor the geo-coordinates are provided to them for them to collect their order.,service
coinjoin,Coinjoin,concept,"Coinjoin is a method of mixing cryptocurrency tokens or coins, where two or more user transactions are combined into a single transaction on the blockchain, with multiple inputs and outputs. The concept behind that methodology is to obfuscate the link between an input and an output that would otherwise be apparent in a standard, single-user transaction. The coinjoin methodology is open-source and integrated into some software wallets, and is also available for use via a hosted online service.",technology
paste_site_service,Paste site/service,concept,"A pastebin or text storage site is a type of online content hosting service where users can store plain text, e.g. to source code snippets for code review via Internet Relay Chat (IRC).",service
deep_web,Deep Web,concept,"The deep web, invisible web, or hidden web are parts of the World Wide Web whose contents are not indexed by standard web search-engines.",infrastructure
cryptocurrencies_user,Cryptocurrencies User,concept,(User of) Decentralized virtual currency that employs cryptography to accomplish tamper-resistance.,actor
flash-loan-attack,Flash loan attack,concept,An attack to a DeFi protocol that exploits vulnerabilities in the flash loan system,process
process,Process,concept,A series of actions or operations conducing to an end,entity2
privacy_coin,Privacy coin,concept,"Privacy coins are a class of cryptocurrencies that power private and anonymous blockchain transactions by obscuring their origin and destination. Some of the techniques used include hiding a user’s real wallet balance and address, and mixing multiple transactions with each other to elude chain analysis.",asset
infrastructure,Infrastructure,concept,The underlying foundation or basic framework (as of a system or organization),entity2
peer_to_peer_exchange,Peer-to-peer exchange,concept,"The exchange or sharing of information, data, or assets between parties without the involvement of a central authority. Peer-to-peer, or P2P, takes a decentralized approach to interactions between individuals and groups. This approach has been used in computers and networking (peer-to-peer file sharing), as well as with virtual assets trading.",technology
proxy,Proxy,concept,A virtual service that changes users’ IP addresses when using the Internet. ,infrastructure
